حرف,f1,f2,f3,f4,f5,a1,a2,a3,a4,a5,a6
ا,79,82,86,80,62,6.18,-0.22,-7.81,-11.5,3.51,4.15
ا,78,83,85,78,107,6.24,-1.11,-7.9,-13.67,-1.19,1.97
ا,78,82,88,78,85,6.11,-1.41,-7.99,-13.78,-0.53,-1.21
ا,78,82,85,78,84,6.09,-1.21,-7.89,-13.73,1.27,0.52
ا,77,82,82,77,59,6.06,-1.32,-7.9,-17.14,-0.17,-1.77
ا,78,79,84,78,83,6.56,-0.59,-7.36,-12.14,-0.63,2.78
ا,75,81,83,78,92,7.59,-0.79,-7.18,-13.7,7.99,-4.37
ا,74,77,84,77,78,7.85,-0.24,-6.46,-9.36,9.15,-1.7
ا,75,82,84,76,78,7.86,0.38,-6.24,-9.91,-3.33,-2.66
ا,25,95,103,95,88,5.62,2.48,-7.52,-11.06,-2.15,-6.52
ا,1,91,95,82,89,5.65,3.66,-6.83,-9.16,2.02,-9.91
ا,1,91,94,80,85,5.77,4.16,-7.18,-12.57,3.38,1.41
ا,15,88,90,77,68,6.56,2.89,-6.85,-18.01,3.88,-0.93
ا,0,89,89,79,68,7.39,1.97,-7.2,-1.21,-13.4,33.18
ا,0,91,91,78,99,5.64,0.72,-6.2,-18.85,1.47,-15.89
ا,0,89,90,77,81,4.32,0.47,-8.88,-29.16,-37.16,-11.04
ا,0,88,88,76,61,4.09,1.16,-9.27,-16.53,-4.38,0.27
ا,0,88,89,78,63,3.62,0.71,-8.67,-11.43,5.91,3.15
ا,0,87,87,76,99,3.22,1.13,-9.1,-14.34,-2.84,0.38
ا,0,84,89,75,79,2.97,1.84,-9.09,-17.15,-3.6,-1.04
ا,0,86,88,76,52,3.05,1.98,-9.06,-13.03,0.15,-0.14
ا,0,87,89,75,70,3.05,1.37,-9.09,-14.8,0.53,-0.93
ا,0,96,88,75,87,3.88,1.37,-9.26,-11.2,0.32,1.15
ا,0,91,86,74,75,4.8,3.47,-7.65,-47.67,15.06,-12.4
ا,0,88,87,75,43,5.84,8.1,-1.49,-16.1,-0.52,0.5
ا,0,87,85,73,82,5.56,8.2,-0.96,-15.02,-0.52,0.52
ا,0,85,87,75,83,5.69,8.27,-0.91,-18.18,-0.96,-0.44
ا,0,86,85,76,72,5.55,8.21,-0.9,-14.19,0.44,0.06
ا,0,86,85,76,45,6.02,8.54,-0.97,-10.37,-3.25,9.99
ا,0,88,86,75,100,5.94,8.06,-1.07,-12.19,4.52,-0.82
ا,0,85,84,76,80,5.83,8.19,-0.97,-15.61,-0.38,-0.66
ا,0,85,86,76,65,5.84,8.13,-1,-16.31,-3.97,0.35
ا,0,86,86,77,59,6.05,7.87,-1.07,-14.66,-3.91,2.08
ا,1,81,83,74,93,6.26,8.45,-2.3,-5.5,9.96,0.53
ا,1,81,84,73,66,5.62,8.12,-1.67,-9.73,-0.08,1.91
ا,0,83,84,74,51,6.66,6.88,-2.92,-15.12,-6.29,3.19
ا,0,83,84,74,89,6.73,7.32,-2.76,-15.89,4.31,-0.76
ا,0,81,83,73,78,6.45,6.96,-2.81,-9.01,3.64,0.64
ب,14,12,17,14,6,-7.14,5.63,2.29,-14.08,-0.12,-0.63
ب,13,12,17,15,7,-7.21,5.56,2.35,-16.01,1.45,-2.06
ب,13,11,17,14,7,-6.51,6.67,1.91,19.22,-18.8,29.42
ب,49,17,39,37,51,4.86,5.83,-5.25,7.68,-24.5,130.33
ب,88,1,116,101,97,6.57,-1.26,-7.68,-3.44,11.12,9.07
ب,84,3,102,91,84,6.58,-1.94,-7.2,-19.57,-8.42,15.49
ب,81,1,96,83,86,8.39,-2,-5.46,-33.41,28.88,-8.23
ب,72,0,94,80,76,11.22,-1.48,-2.77,-25.59,20.54,23.31
ب,79,2,79,73,78,9.48,-2.32,-2.96,-15.5,1.39,-1.21
ب,76,1,77,71,78,9.66,-2.63,-2.68,-14.24,4.57,-1.86
ب,72,0,78,70,80,9.5,-2.63,-2.61,-12.77,-2.35,4.48
ب,57,0,79,68,73,9.5,-2.81,-2.37,-13.59,0.46,0.06
ب,59,0,76,66,72,9.64,-2.61,-2.41,-13.96,1.56,-0.49
ب,64,1,77,67,76,9.84,-2.43,-2.26,-14.36,1.02,-0.87
ب,61,1,77,65,73,9.83,-2.18,-2.59,-13.73,-1.79,1.07
ب,60,1,75,66,69,9.78,-2.11,-3.51,-20.21,6.13,-5.5
ب,63,2,78,68,74,9.87,-0.57,-3.14,-11.67,4.7,-1.73
ب,61,1,79,66,67,9.33,-2.05,-2.88,-2.52,-2.72,15.35
ب,59,1,74,65,73,9.45,-2.08,-3.22,-14.42,-0.61,-1.01
ب,58,0,77,64,72,9.59,-2.33,-3.36,-14.36,1.25,1.05
ب,59,2,72,63,73,9.38,-2.45,-3.28,-14.16,-1.05,1.91
ت,15,12,16,13,10,-6.6,5.97,2.23,-16.7,-3.8,-0.5
ت,14,13,18,13,11,-7.42,5.4,2.15,-12.71,-3.54,1.66
ت,12,11,16,11,7,-6.09,7.26,5.53,6.11,-8.54,37.84
ت,7,2,0,87,93,8.71,1.92,-4.99,14.76,-11.06,37.36
ت,7,3,0,95,84,6.03,-1.09,-5.03,-37,62.15,-0.03
ت,6,4,0,95,95,8.61,-0.08,-5.54,-11.44,0.87,-2.57
ت,6,5,0,90,62,8.46,-0.32,-5.36,-20.41,-1.68,4.77
ت,4,2,3,86,66,8.52,0.2,-5.54,-13.52,2.2,-2.2
ت,68,27,7,64,63,8.42,-0.49,-5.43,-13.67,-1.33,-0.43
ت,56,10,1,76,68,8.43,-0.46,-5.49,-19.99,2.86,-5.62
ت,42,2,0,78,61,8.43,-0.34,-5.6,-14.43,1.56,-1.86
ت,39,4,0,73,60,8.43,-0.41,-5.58,-14.01,0.73,-1.07
ت,40,2,0,72,56,8.57,-0.31,-5.41,-13.15,0.09,-0.2
ت,25,0,0,75,57,8.48,-0.2,-5.61,-13.52,-0.11,0.89
ت,-1,-1,0,74,60,8.6,-0.2,-5.52,-12.6,0.86,-1.71
ت,-1,-1,0,71,62,8.58,-0.09,-5.3,-12.65,0.52,0.26
ت,36,13,1,63,55,8.5,-0.58,-5.81,-13.26,-1.05,2.76
ت,38,4,1,68,56,10.29,4.25,1.02,-17.43,18.38,-8.39
ت,41,4,0,69,54,9.9,2.83,0.95,-9.58,-2.11,0.08
ت,41,3,0,65,59,9.92,3.53,-0.59,-7.68,-5.07,-0.61
ت,36,5,9,65,45,9.36,3.87,-0.97,-6.78,-10.81,-17.78
ت,20,13,22,45,26,8.91,4.81,-1.24,-9.58,17.9,-11.33
ث,11,12,14,10,8,-6.22,6.47,3.16,-14.31,1.45,-0.76
ث,11,13,14,10,8,-6.37,6.18,3.15,-16.68,-1.83,-5.25
ث,10,13,14,21,52,-5.04,9.36,3.79,40.19,-57.31,105.87
ث,9,5,0,-2,85,8.5,-0.3,-4.56,47.34,67.52,20.47
ث,7,9,0,0,82,9.15,0.93,-5.22,-59.77,4.11,16.89
ث,8,4,1,0,78,9.41,-3,-0.91,-10.57,6.46,-7.94
ث,10,3,0,-2,73,9.48,-4.15,-1.49,-20.68,-1.44,6.45
ث,11,3,-1,-1,73,9.39,-4.31,-1.27,-13.99,0.6,0.03
